Opcode,Name,AddressMode,Len,Cycles,PageCycles,Notes
0x3C, ILL_NOP,  AbsoluteX,       3, 4, 0, 
0x44, ILL_NOP,  ZeroPage,        2, 3, 0, 
0x54, ILL_NOP,  ZeroPageX,       2, 3, 0, 
0x5A, ILL_NOP,  Implied,         1, 2, 0, 
0x5C, ILL_NOP,  AbsoluteX,       3, 4, 0, 
0x64, ILL_NOP,  ZeroPage,        2, 3, 0, 
0x74, ILL_NOP,  ZeroPageX,       2, 4, 0, 
0x7A, ILL_NOP,  Implied,         1, 2, 0, 
0x7C, ILL_NOP,  AbsoluteX,       3, 4, 0, 
0x80, ILL_NOP,  Immediate,       2, 2, 0, 
0x82, ILL_NOP,  Immediate,       2, 2, 0, 
0x89, ILL_NOP,  Immediate,       2, 2, 0, 
0xC2, ILL_NOP,  Immediate,       2, 2, 0, 
0xD4, ILL_NOP,  ZeroPageX,       2, 4, 0, 
0xDA, ILL_NOP,  Implied,         1, 2, 0, 
0xDC, ILL_NOP,  AbsoluteX,       3, 4, 0, 
0xE2, ILL_NOP,  Immediate,       2, 2, 0, 
0xF4, ILL_NOP,  ZeroPageX,       2, 4, 0, 
0xFA, ILL_NOP,  Implied,         1, 2, 0, 
0xFC, ILL_NOP,  AbsoluteX,       3, 4, 0, 
0xBB, ILL_LAS,  AbsoluteY,       3, 4, 1,
0xAF, ILL_LAX1, Absolute,        3, 4, 0,
0xBF, ILL_LAX1, AbsoluteY,       3, 4, 1,
0xAB, ILL_LAX2, Immediate,       2, 2, 0, documented as unstable
0xA3, ILL_LAX1, IndexedIndirect, 2, 6, 0,
0xB3, ILL_LAX1, IndirectIndexed, 2, 5, 1,
0xA7, ILL_LAX1, ZeroPage,        2, 3, 0,
0xB7, ILL_LAX1, ZeroPageY,       2, 4, 0,
0x2F, ILL_RLA,  Absolute,        3, 6, 0,
0x3F, ILL_RLA,  AbsoluteX,       3, 7, 0,
0x3B, ILL_RLA,  AbsoluteY,       3, 7, 0,
0x23, ILL_RLA,  IndexedIndirect, 2, 8, 0,
0x33, ILL_RLA,  IndirectIndexed, 2, 8, 0,
0x27, ILL_RLA,  ZeroPage,        2, 5, 0,
0x37, ILL_RLA,  ZeroPageX,       2, 6, 0,
0x6F, ILL_RRA,  Absolute,        3, 6, 0,
0x7F, ILL_RRA,  AbsoluteX,       3, 7, 0,
0x7B, ILL_RRA,  AbsoluteY,       3, 7, 0,
0x63, ILL_RRA,  IndexedIndirect, 2, 8, 0,
0x73, ILL_RRA,  IndirectIndexed, 2, 8, 0,
0x67, ILL_RRA,  ZeroPage,        2, 5, 0,
0x77, ILL_RRA,  ZeroPageX,       2, 6, 0,
0x8F, ILL_SAX,  Absolute,        3, 4, 0,
0x83, ILL_SAX,  IndexedIndirect, 2, 6, 0,
0x87, ILL_SAX,  ZeroPage,        2, 3, 0,
0x97, ILL_SAX,  ZeroPageY,       2, 4, 0,
0xEB, ILL_SBC,  Immediate,       2, 2, 0,
0x9E, ILL_SHX,  AbsoluteY,       3, 5, 0,
0x9C, ILL_SHY,  AbsoluteX,       3, 5, 0,
0x0F, ILL_SLO,  Absolute,        3, 6, 0,
0x1F, ILL_SLO,  AbsoluteX,       3, 7, 0,
0x1B, ILL_SLO,  AbsoluteY,       3, 7, 0,
0x03, ILL_SLO,  IndexedIndirect, 2, 8, 0,
0x13, ILL_SLO,  IndirectIndexed, 2, 8, 0,
0x07, ILL_SLO,  ZeroPage,        2, 5, 0,
0x17, ILL_SLO,  ZeroPageX,       2, 6, 0,
0x4F, ILL_SRE,  Absolute,        3, 6, 0,
0x5F, ILL_SRE,  AbsoluteX,       3, 7, 0,
0x5B, ILL_SRE,  AbsoluteY,       3, 7, 0,
0x43, ILL_SRE,  IndexedIndirect, 2, 8, 0,
0x53, ILL_SRE,  IndirectIndexed, 2, 8, 0,
0x47, ILL_SRE,  ZeroPage,        2, 5, 0,
0x57, ILL_SRE,  ZeroPageX,       2, 6, 0,
0x9B, ILL_TAS,  AbsoluteY,       3, 5, 0,
0x8B, ILL_XAA,  Immediate,       2, 2, 0,

